aaaa,аааа：ああああ
aaaaa,ааааа：ああああ
aal,аал：アール(地名)
aalto,аалто：アールト（人名）
aalnyy,аальний：アール
aanh,аанг：アアング(人名)
aanha,аанга：アーンガ
aare,ааре：アーレ
aakhenskyy,аахенський：アーヘンの
ab,аб：AB（略語）
aba,аба：アバ
abadan,абадан：アバダン
abadi,абаді：アバディ（人名）
abazhurnyy,абажурний：ランプシェードの
abaz,абаз：ABAZ（略語）
abazynskyy,абазинський：アバザ族の
abazyniv,абазинів：アバザ人
abaziya,абазія：歩行不能症
abayya,абайя：アバヤ
abak,абак：そろばん
abakanskyy,абаканський：アバカンの
abakus,абакус：そろばん
abank,абанк：ABANK(略語)
abaplova,абаплова：アバプロヴァ（人名）
abaplovoyu,абапловою：アバプロヴォユ
abatovyy,абатовий：修道院長の
abatskyy,абатський：修道院長の
abaud,абауд：アバウド
abashevskyy,абашевський：アバシェフの
abbasydskyy,аббасидський：アッバース朝の
abbasydiv,аббасидів：アッバース朝の
abbasov,аббасов：アッバーソフ
abbat,аббат：修道院長
abbatys,аббатис：逆茂木
abbatstvo,аббатство：修道院
abbotabad,абботабад：アボッタバード
abbott,абботт：アボット（人名）
abbottabad,абботтабад：アボッタバード
abver,абвер：アプヴェーア
abhar,абгар：アブガル
abd,абд：ABD
abdal,абдал：アブダル
abdallakh,абдаллах：アブダッラー
abdel,абдель：アブデル（人名）
abdelkader,абделькадер：アブデルカデル
abdeslam,абдеслам：アブデスラム
abdzhadom,абджадом：アブジャドで
abdykatsiya,абдикація：退位
abdominalnyy,абдомінальний：腹部の
abduktsiya,абдукція：アブダクション（論理学）
abdul,абдул：アブドゥル（人名）
abdullakh,абдуллах：アブドゥッラー
abdullakhi,абдуллахі：アブドゥッラーヒ(人名)
abdureshyt,абдурешит：アブドゥレシト（人名）
abe,абе：安倍（日本の姓）
abelyentsev,абелєнцев：アベレンツェフ
abeliv,абелів：アーベルの
abenaky,абенаки：アベナキ族
abenomika,абеноміка：アベノミクス
aberdyn,абердин：アバディーン
aberdyna,абердина：アバディーン
aberdynskyy,абердинський：アバディーンの
aberdynshyr,абердиншир：アバディーンシャー
aberkrombi,аберкромбі：アバクロンビー
abessalom,абессалом：アベッサロム
abete,абете：アベテ
abz,абз：段落
abzatsnyy,абзацний：段落の
abyy,абий：どんな
abys,абись：いい加減に
abk,абк：ABK(略語)
ablatyv,аблатив：奪格
ablaut,аблаут：アプラウト
ablo,абло：アブロ
ablova,аблова：アブロヴァ
ablyatsiynyy,абляційний：アブレーションの
ablyatsiya,абляція：アブレーション
abozh,абож：またはそれとも
abolitsionizm,аболіціонізм：奴隷制廃止論
abolitsionist,аболіціоніст：奴隷制廃止論者
abolitsionistkyy,аболіціоністкий：奴隷制廃止論者の
abolitsionistskyy,аболіціоністський：奴隷制廃止論者の
abonbaza,абонбаза：加入者基盤
abonviddil,абонвідділ：購読部門
abonentnyy,абонентний：加入者の
abonplata,абонплата：定期購読料
aboralnyy,аборальний：口側の
aboryhenskyy,аборигенський：先住民の
aborygen,абориґен：先住民
abortariy,абортарій：中絶施設
abortnyy,абортний：中絶の
abottabad,аботтабад：アボッタバード
abr,абр：ABR
abra,абра：アブラ
abraham,абрагам：アブラハム
abradskyy,абрадський：アブラド（誤字）
abrazyv,абразив：研磨剤
abrazyvnist,абразивність：研磨性
abraziynyy,абразійний：磨耗の
