аааа,ああああ
ааааа,ああああ
аал,アール(地名)
аалто,アールト（人名）
аальний,アール
аанг,アアング(人名)
аанга,アーンガ
ааре,アーレ
аахенський,アーヘンの
аб,AB（略語）
аба,アバ
абадан,アバダン
абаді,アバディ（人名）
абажурний,ランプシェードの
абаз,ABAZ（略語）
абазинський,アバザ族の
абазинів,アバザ人
абазія,歩行不能症
абайя,アバヤ
абак,そろばん
абаканський,アバカンの
абакус,そろばん
абанк,ABANK(略語)
абаплова,アバプロヴァ（人名）
абапловою,アバプロヴォユ
абатовий,修道院長の
абатський,修道院長の
абауд,アバウド
абашевський,アバシェフの
аббасидський,アッバース朝の
аббасидів,アッバース朝の
аббасов,アッバーソフ
аббат,修道院長
аббатис,逆茂木
аббатство,修道院
абботабад,アボッタバード
абботт,アボット（人名）
абботтабад,アボッタバード
абвер,アプヴェーア
абгар,アブガル
абд,ABD
абдал,アブダル
абдаллах,アブダッラー
абдель,アブデル（人名）
абделькадер,アブデルカデル
абдеслам,アブデスラム
абджадом,アブジャドで
абдикація,退位
абдомінальний,腹部の
абдукція,アブダクション（論理学）
абдул,アブドゥル（人名）
абдуллах,アブドゥッラー
абдуллахі,アブドゥッラーヒ(人名)
абдурешит,アブドゥレシト（人名）
абе,安倍（日本の姓）
абелєнцев,アベレンツェフ
абелів,アーベルの
абенаки,アベナキ族
абеноміка,アベノミクス
абердин,アバディーン
абердина,アバディーン
абердинський,アバディーンの
абердиншир,アバディーンシャー
аберкромбі,アバクロンビー
абессалом,アベッサロム
абете,アベテ
абз,段落
абзацний,段落の
абий,どんな
абись,いい加減に
абк,ABK(略語)
аблатив,奪格
аблаут,アプラウト
абло,アブロ
аблова,アブロヴァ
абляційний,アブレーションの
абляція,アブレーション
абож,またはそれとも
аболіціонізм,奴隷制廃止論
аболіціоніст,奴隷制廃止論者
аболіціоністкий,奴隷制廃止論者の
аболіціоністський,奴隷制廃止論者の
абонбаза,加入者基盤
абонвідділ,購読部門
абонентний,加入者の
абонплата,定期購読料
аборальний,口側の
аборигенський,先住民の
абориґен,先住民
абортарій,中絶施設
абортний,中絶の
аботтабад,アボッタバード
абр,ABR
абра,アブラ
абрагам,アブラハム
абрадський,アブラド（誤字）
абразив,研磨剤
абразивність,研磨性
абразійний,磨耗の
абразія,摩耗
абрамовський,アブラモフスキーの
абрамовського,アブラモフスキー
абрамс,エイブラムス
абрамса,エイブラムス
абрамцево,アブラムツェヴォ
абранський,アブランスキー
абрантеш,アブランテシュ
абрикосівський,アブリコシフスキー
абринес,アブリネス
абрисний,輪郭の
абромавичус,アブロマヴィチュス
абромавичуса,アブロマビチュス（姓・生格）
абромавичусом,アブロマヴィチュスと
аброськін,アブロシキン
абруптивний,急激な
абруццо,アブルッツォ
абс,ABS \ ABS(略語)
абсентеїзм,棄権主義
абсольвент,卒業生
абсолютист,絶対主義者
абсолютная,絶対的な（ロシア語）
абсорбент,吸収剤
абсорбований,吸収された
абсорбування,吸収
абсорбуватися,吸収される
абсорбуючий,吸収する
абсорбційний,吸収の
абст,ABST
абстерго,アブスターゴ
абстинент,禁欲者
абстинентний,禁断症状の
абстиненція,禁断症状
абстрагованість,抽象性
абстрактніший,より抽象的な
абстракційний,抽象的な
абсурдизм,不条理主義
абсурдистський,不条理主義の
абсурдніше,より不条理に
абсциса,横座標
абу,アブ
абубакар,アブバカル
абуджа,アブジャ
абхіманью,アビマニュ
абшит,跳躍
абшитований,裏打ちされた
абшніт,アブシュニット \ アブシント
абьян,アビヤン（地名）
абігайль,アビゲイル
абігейл,アビゲイル
абідаль,アビダル
абідос,アビドス
абідоса,アビドス
абілітація,能力開発
абінський,アビンスキー
абіогенез,生命発生
абіогенний,非生物起源の
абіотичний,非生物的な
абісаль,深海の
абісальний,深海の
абісинська,アビシニアの
абісинський,アビシニアの
абіссинський,アビシニアの
абіша,アビシャ
ав,AV
ава,アバター
авад,アワド（姓）
авадхі,アワディー語
аваковський,アヴァコフの
аваківський,アヴァキフの
аваланч,アバランチ
авалон,アヴァロン
аваль,アバル（銀行）
авальний,保証の
авальований,保証された
авалювання,なだれ
аваліст,アバリスト
аваморя,アヴァ海
аваморі,アワモリ
авамі,アワミ
авангардовий,前衛的な
аванзал,前室
аванпорт,外港
аванпроект,予備計画
аванпроєкт,予備プロジェクト
авансування,前払い
авансуватися,前払いされる
авант,アバン（前衛）
авантаж,アドバンテージ
авантура,冒険
авантурний,冒険的な
авантюрин,アベンチュリン
авантюристський,冒険主義の
авантюрність,冒険性
аванґард,前衛
аванґардний,前衛的な
аварии,事故（ロシア語）
авария,事故
аварка,アワール人女性
аварійка,非常灯
аварійно,緊急に
аватар,アバター
аватарка,アバター \ アバター画像
аватарки,アバター画像（複数）
аватарок,アバター（複数形）
аваш,アヴァシュ
авв,AVV（略語） \ アブ
авва,アッバ
аввий,アッバ
авво,"しかし,ただし"
авг,8月
август,8月
августинець,アウグスティヌス会修道士
августинський,アウグスティヌスの
